r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.160578,  -0.199626,   0.023107,   0.249792,   0.088574,   0.036222,   0.883037,   0.195497,  
Y Velocity[A/fs],   0.094500,  -0.081579,  -0.217496,  -0.036952,   0.215790,  -0.876892,  -0.100721,   0.850088, 
Z Velocity[A/fs],  -0.007938,   0.019553,   0.005924,  -0.007934,  -0.007478,  -0.012652,   0.009877,   0.004529,  
Speed[A/fs],   0.186490,   0.216537,   0.218801,   0.252635,   0.233381,   0.877731,   0.888818,   0.872289,  
 
r_seed=29,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.168650,  -0.191870,   0.033481,   0.242998,   0.075450,   0.077694,   0.876388,   0.126555,  
Y Velocity[A/fs],   0.090518,  -0.088355,  -0.216377,  -0.017894,   0.230012,  -0.870652,  -0.103906,   0.870273, 
Z Velocity[A/fs],   0.007886,   0.009285,  -0.011120,   0.011187,  -0.017262,   0.026726,   0.011766,  -0.025461,  
Speed[A/fs],   0.191568,   0.211440,   0.219234,   0.243912,   0.242686,   0.874520,   0.882605,   0.879795,  
 
r_seed=30,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.162296,  -0.200456,   0.019273,   0.239741,   0.083648,   0.037172,   0.879814,   0.156348,  
Y Velocity[A/fs],   0.097087,  -0.077538,  -0.219190,  -0.031212,   0.227253,  -0.874478,  -0.029668,   0.867537, 
Z Velocity[A/fs],   0.000763,   0.016269,  -0.002630,  -0.000162,  -0.005590,  -0.002427,  -0.028586,  -0.009409,  
Speed[A/fs],   0.189121,   0.215545,   0.220051,   0.241765,   0.242223,   0.875271,   0.880778,   0.881563,  
 
